query,trend_name,predicted_year,category,confirmed,confirmation_source,notes
baggy suit,Glamoratti,2026,fashion,TRUE,Spring 2026 runway + fashion media (March 2026),"Glamoratti is the most-confirmed 2026 trend. SS26 runways from Saint Laurent, Schiaparelli, Chanel, Valentino all showed sculpted shoulders + bold tailoring. Searches for '80s luxury' up 225%. Confirmed by Marie Claire, WWD, Who What Wear."
poet core aesthetic,Poetcore,2026,fashion,TRUE,Fashion media + editorial coverage (Jan–Apr 2026),"Academic vintage aesthetic with vintage blazers, satchels, and turtlenecks confirmed in 2026 fashion press. FashionUnited, NSS Magazine, and styling editorials document the trend materialising on street and in retail."
khaki utility outfit,Khaki Coded,2026,fashion,FALSE,Limited mainstream confirmation as of Apr 2026,"Explorer khaki aesthetic with utility shirts and field jackets is visible in menswear editorials but has not achieved broad mainstream or womenswear crossover yet."
lace outfit aesthetic,Laced Up,2026,fashion,TRUE,Confirmed by Who What Wear + Glam + runway (Jan–Apr 2026),"Lace trend confirmed across multiple outlets. Who What Wear published a dedicated lace-for-2026 guide in Jan 2026. Glam and stylist Amanda Vargus confirmed it for Spring 2026. Valentino/Alessandro Michele collections drove the narrative."
brooch men suit,Brooched,2026,fashion/accessories,TRUE,Glam (Mar 2026) + runway + retail coverage,"Brooch revival confirmed across womenswear and menswear. Stylist Amanda Vargus cited brooches in Spring 2026 editorial. Runway and charity-shop trend coverage both document mainstream uptake."
alien core aesthetic outfit,Extra Celestial,2026,fashion/beauty,FALSE,Niche — limited mainstream confirmation as of Apr 2026,"Alien-core opalescent fashion remains largely subcultural. Iridescent/holographic elements have appeared in editorial but have not crossed to mainstream retail as of April 2026."
fairycore woodland outfit,Wilderkind,2026,fashion,FALSE,Niche — limited mainstream confirmation as of Apr 2026,"Enchanted woodland fairy aesthetic has not materialised as a mainstream trend. Limited to Pinterest mood boards and a handful of indie designers."
ice blue aesthetic outfit,Cool Blue,2026,fashion,TRUE,Multiple sources confirmed (Jan–Mar 2026),"Ice blue / baby blue confirmed as the breakout color of Spring 2026 by Pepandpanache trend synthesis and Bethenny.com. Multiple runway and retail sources confirm glacial blue hues as dominant new neutral."
vamp romantic aesthetic,Vamp Romantic,2026,beauty/fashion,FALSE,Niche — limited mainstream confirmation as of Apr 2026,"Gothic-soft beauty with dark plum + smoky aesthetics remains niche. Has not crossed to broad mainstream fashion adoption as of April 2026."
glitchy glam makeup,Glitchy Glam,2026,beauty/fashion,FALSE,Niche — limited mainstream confirmation as of Apr 2026,"Intentionally imperfect asymmetric beauty is present in avant-garde editorial but has not become mainstream as of April 2026."
gummy accessories aesthetic,Gimme Gummy,2026,fashion/accessories,FALSE,Niche — limited mainstream confirmation as of Apr 2026,"Rubbery 3D accessories and gummy bear nails are niche/Gen Z subcultural. Colourful chunky bangles are visible but not yet a dominant mainstream trend."
